r,z,u_r,u_z,u_swirl,p,T
0,0,0,0,-9.00975817e-05,0,1700.14243
0,0.000357650242,-1.69199802e-07,9.39309513e-08,-8.95170019e-05,-0.0122016896,1700.34188
0,0.000741017226,-3.71170482e-07,1.20783403e-06,-8.8896648e-05,-0.034781961,1700.61985
0,0.00115195011,-6.08447045e-07,2.45335248e-06,-8.82336219e-05,-0.0557097493,1700.88697
0,0.00159243101,-8.84959091e-07,4.73441605e-06,-8.75249376e-05,-0.0781147666,1701.14901
0,0.00206458457,-1.20445032e-06,8.13394299e-06,-8.67675098e-05,-0.101254165,1701.4094
0,0.0025706882,-1.57042999e-06,1.29997187e-05,-8.59580848e-05,-0.12537571,1701.67025
0,0.00311318307,-1.98694316e-06,1.96834195e-05,-8.50932121e-05,-0.150303501,1701.93295
0,0.00369468589,-2.45832071e-06,2.86487306e-05,-8.4169226e-05,-0.176068985,1702.19841
0,0.00431800152,-2.98908226e-06,4.04414265e-05,-8.31822271e-05,-0.202641192,1702.46723
0,0.00498613648,-3.58389836e-06,5.57215369e-05,-8.21280633e-05,-0.230003282,1702.73981
0,0.0057023135,-4.24750217e-06,7.52768888e-05,-8.10023091e-05,-0.258123593,1703.01635
0,0.00646998704,-4.9846036e-06,0.000100046906,-7.98002409e-05,-0.286966262,1703.29692
0,0.00729285993,-5.7997744e-06,0.000131146385,-7.851681e-05,-0.316487538,1703.58142
0,0.00817490128,-6.69731089e-06,0.000169893361,-7.71466106e-05,-0.346637874,1703.86967
0,0.00912036556,-7.68106666e-06,0.000217839425,-7.56838442e-05,-0.377362669,1704.16133
0,0.0101338132,-8.75425049e-06,0.000276803215,-7.41222773e-05,-0.408604108,1704.45598
0,0.0112201325,-9.91917421e-06,0.000348906026,-7.24551952e-05,-0.440304536,1704.75306
0,0.0123845633,-1.1176945e-05,0.000436610128,-7.06753485e-05,-0.472407454,1705.05194
0,0.0136327222,-1.25271625e-05,0.000542756314,-6.87748949e-05,-0.504867672,1705.35187
0,0.0149706296,-1.39674545e-05,0.000670604596,-6.67453365e-05,-0.537646304,1705.65203
0,0.0164047389,-1.54931411e-05,0.000823864825,-6.45774543e-05,-0.570740996,1705.95155
0,0.0179419674,-1.70964564e-05,0.00100673585,-6.22612427e-05,-0.604153789,1706.2495
0,0.0195897299,-1.87664785e-05,0.00122390776,-5.97858497e-05,-0.63798243,1706.54497
0,0.0213559743,-2.04875725e-05,0.00148059856,-5.7139529e-05,-0.672294854,1706.837
0,0.0232492201,-2.22402563e-05,0.00178247864,-5.43096144e-05,-0.707393872,1707.12471
