r,z,u_r,u_z,u_swirl,p,T
0,0,0,0,-9.00975817e-05,0,1700.0807
0,0.000357650242,1.24734801e-06,-2.45901586e-06,-8.92813006e-05,-0.0191966431,1700.14147
0,0.000741017226,2.54838324e-06,-7.32687356e-06,-8.84094758e-05,-0.0582888634,1700.20464
0,0.00115195011,3.89658179e-06,-1.66855949e-05,-8.74782186e-05,-0.099864163,1700.24165
0,0.00159243101,5.2929845e-06,-3.06423736e-05,-8.64836102e-05,-0.145726848,1700.25727
0,0.00206458457,6.73731602e-06,-5.02808586e-05,-8.54216969e-05,-0.194021053,1700.25386
0,0.0025706882,8.22799094e-06,-7.6436083e-05,-8.42884105e-05,-0.245266308,1700.23249
0,0.00311318307,9.76250108e-06,-0.000110173126,-8.30795562e-05,-0.299392052,1700.19343
0,0.00369468589,1.13373835e-05,-0.000152629825,-8.17908208e-05,-0.35662254,1700.13649
0,0.00431800152,1.29482147e-05,-0.000205088956,-8.04177893e-05,-0.41711389,1700.0612
0,0.00498613648,1.45894903e-05,-0.000268963994,-7.89559689e-05,-0.48106261,1699.96693
0,0.0057023135,1.62545545e-05,-0.000345813775,-7.74008189e-05,-0.548666278,1699.85295
0,0.00646998704,1.79354868e-05,-0.00043734483,-7.57477884e-05,-0.620138636,1699.71857
0,0.00729285993,1.96230026e-05,-0.000545415383,-7.39923589e-05,-0.695705381,1699.56316
0,0.00817490128,2.13063311e-05,-0.000672034862,-7.2130094e-05,-0.77560724,1699.38633
0,0.00912036556,2.29731092e-05,-0.000819359717,-7.01566959e-05,-0.860099252,1699.18801
0,0.0101338132,2.46092647e-05,-0.000989683931,-6.80680677e-05,-0.949451527,1698.96861
0,0.0112201325,2.61989089e-05,-0.00118542214,-6.58603831e-05,-1.04394608,1698.72921
0,0.0123845633,2.77242046e-05,-0.00140908532,-6.35301587e-05,-1.14387883,1698.47167
0,0.0136327222,2.91653425e-05,-0.00166324259,-6.10743288e-05,-1.24954504,1698.19886
0,0.0149706296,3.0500348e-05,-0.00195047575,-5.84903177e-05,-1.36125257,1697.91469
0,0.0164047389,3.17052653e-05,-0.00227330453,-5.57761042e-05,-1.47927269,1697.62415
0,0.0179419674,3.27536972e-05,-0.00263411621,-5.29302783e-05,-1.60390322,1697.33314
0,0.0195897299,3.36177408e-05,-0.00303502474,-4.9952079e-05,-1.73531576,1697.04807
0,0.0213559743,3.42665577e-05,-0.00347778567,-4.68414077e-05,-1.87378918,1696.77526
0,0.0232492201,3.46692972e-05,-0.00396352749,-4.35988105e-05,-2.01927075,1696.52009
0,0.0252785992,3.47910026e-05,-0.00449270281,-4.02254216e-05,-2.17208704,1696.28607
0,0.0274539002,3.46004414e-05,-0.00506455991,-3.67228601e-05,-2.33177025,1696.07409
0,0.0297856156,3.40593997e-05,-0.00567728488,-3.30930863e-05,-2.49894842,1695.88203
0,0.0322849924,3.31416805e-05,-0.00632693163,-2.93382068e-05,-2.67242191,1695.70503
0,0.0349640862,3.18073588e-05,-0.00700814952,-2.54602682e-05,-2.85370945,1695.53633
0,0.0378358195,3.00457557e-05,-0.00771197234,-2.14610307e-05,-3.04023592,1695.3685
0,0.040914044,2.781656e-05,-0.00842805845,-1.7341834e-05,-3.23556327,1695.19456
0,0.0442136074,2.51438561e-05,-0.00914003753,-1.31035391e-05,-3.43435003,1695.00874
0,0.0477504251,2.19827306e-05,-0.00983136503,-8.74677473e-06,-3.64449701,1694.80659
0,0.0515415566,1.8429926e-05,-0.0104753142,-4.27250058e-06,-3.85494755,1694.58467
0,0.0556052884,1.44109065e-05,-0.0110491304,3.16850399e-07,-4.08286971,1694.34005
0,0.0599612217,1.01827224e-05,-0.0115125728,5.01541515e-06,-4.30536437,1694.06982
0,0.0646303672,5.52329048e-06,-0.0118389958,9.81143102e-06,-4.56214816,1693.77073
0,0.0696352464,1.06937884e-06,-0.0120025909,1.46825235e-05,-4.80989625,1693.4389
0,0.075,-3.4663062e-06,-0.0119169552,1.9596917e-05,-5.0762213,1693.06982
0,0.0803647536,-7.72557022e-06,-0.0116131888,2.41857271e-05,-5.37763999,1692.6861
0,0.0853696328,-1.08157695e-05,-0.0111474542,2.81525497e-05,-5.63483641,1692.31373
0,0.0900387783,-1.33985507e-05,-0.0105506207,3.15594441e-05,-5.90251737,1691.95255
0,0.0943947116,-1.52332345e-05,-0.00987637515,3.44664047e-05,-6.15637163,1691.60236
0,0.0984584434,-1.65898635e-05,-0.00915329519,3.69300754e-05,-6.4136497,1691.26303
0,0.102249575,-1.74546857e-05,-0.0084128702,3.9003006e-05,-6.66469804,1690.93437
