r,z,u_r,u_z,u_swirl,p,T
0,0,0,0,-9.00975817e-05,0,1700.13591
0,0.000357650242,-1.05028671e-07,-4.90023117e-08,-8.93769231e-05,-0.0121434804,1700.32072
0,0.000741017226,-2.33099513e-07,8.22661211e-07,-8.86070526e-05,-0.0354523845,1700.57601
0,0.00115195011,-3.86072329e-07,1.56120374e-06,-8.77843947e-05,-0.0577908391,1700.81886
0,0.00159243101,-5.66599217e-07,3.00393702e-06,-8.69052883e-05,-0.08155673,1701.05493
0,0.00206458457,-7.76163919e-07,5.18507598e-06,-8.59659712e-05,-0.106378857,1701.28756
0,0.0025706882,-1.01698246e-06,8.33012415e-06,-8.49624954e-05,-0.132462014,1701.51878
0,0.00311318307,-1.29139645e-06,1.26669643e-05,-8.3890697e-05,-0.159688445,1701.74985
0,0.00369468589,-1.60198325e-06,1.85026134e-05,-8.27461803e-05,-0.188128982,1701.98162
0,0.00431800152,-1.95138794e-06,2.61950806e-05,-8.15243047e-05,-0.217809934,1702.21462
0,0.00498613648,-2.34232416e-06,3.61765633e-05,-8.02201739e-05,-0.248775104,1702.44913
0,0.0057023135,-2.77750305e-06,4.89607204e-05,-7.88286246e-05,-0.281062486,1702.68531
0,0.00646998704,-3.25957971e-06,6.51578179e-05,-7.73442166e-05,-0.31471372,1702.92315
0,0.00729285993,-3.79107513e-06,8.54891682e-05,-7.57612223e-05,-0.349771848,1703.16254
0,0.00817490128,-4.37429078e-06,0.000110804192,-7.40736164e-05,-0.38628404,1703.40324
0,0.00912036556,-5.0112013e-06,0.000142098771,-7.22750669e-05,-0.424303075,1703.64492
0,0.0101338132,-5.70332796e-06,0.000180535407,-7.03589263e-05,-0.463889747,1703.88713
0,0.0112201325,-6.4515935e-06,0.0002274645,-6.83182263e-05,-0.505116473,1704.12937
0,0.0123845633,-7.25613962e-06,0.000284447034,-6.6145674e-05,-0.548069925,1704.37101
0,0.0136327222,-8.11613877e-06,0.000353276713,-6.38336536e-05,-0.592858664,1704.61137
0,0.0149706296,-9.02952243e-06,0.000436003416,-6.13742329e-05,-0.639613262,1704.84968
0,0.0164047389,-9.99279054e-06,0.000534950844,-5.87591793e-05,-0.688505507,1705.08513
0,0.0179419674,-1.1000556e-05,0.000652738075,-5.59799894e-05,-0.739734371,1705.31687
0,0.0195897299,-1.20454725e-05,0.000792280137,-5.30279365e-05,-0.793579234,1705.544
0,0.0213559743,-1.31173578e-05,0.000956805644,-4.98941427e-05,-0.850335664,1705.76565
0,0.0232492201,-1.42036309e-05,0.00114981167,-4.65696862e-05,-0.910465007,1705.98093
0,0.0252785992,-1.5287401e-05,0.00137508235,-4.30457517e-05,-0.974381812,1706.18902
0,0.0274539002,-1.63493742e-05,0.00163653491,-3.93138409e-05,-1.04285522,1706.38911
0,0.0297856156,-1.73635172e-05,0.00193826757,-3.53660552e-05,-1.11640994,1706.5805
0,0.0322849924,-1.83025761e-05,0.00228416062,-3.11954727e-05,-1.19633832,1706.76256
0,0.0349640862,-1.91283503e-05,0.00267804603,-2.67966301e-05,-1.28317778,1706.93474
0,0.0378358195,-1.9805331e-05,0.00312277516,-2.21661393e-05,-1.37911494,1707.09661
0,0.040914044,-2.0279529e-05,0.00362076362,-1.73034314e-05,-1.48438995,1707.24783
