r,z,u_r,u_z,u_swirl,p,T
0,0,0,0,-9.00975817e-05,0,1700.14886
0,0.000357650242,-1.95670826e-08,-2.56470252e-07,-8.96513389e-05,-0.0116926347,1700.36276
0,0.000741017226,-6.49226198e-08,3.27364074e-07,-8.91743902e-05,-0.0354760042,1700.66311
0,0.00115195011,-1.42008844e-07,5.00434322e-07,-8.86645118e-05,-0.05905893,1700.95422
0,0.00159243101,-2.54433304e-07,1.06983563e-06,-8.81193989e-05,-0.0833092135,1701.24198
0,0.00206458457,-4.05917648e-07,2.14332836e-06,-8.75366613e-05,-0.108479292,1701.52991
0,0.0025706882,-6.01149802e-07,3.91641042e-06,-8.69137724e-05,-0.134572697,1701.82028
0,0.00311318307,-8.45099323e-07,6.64320133e-06,-8.62480474e-05,-0.161432711,1702.11457
0,0.00369468589,-1.1432926e-06,1.06658774e-05,-8.55366255e-05,-0.189031837,1702.41383
0,0.00431800152,-1.5016568e-06,1.6407197e-05,-8.47764537e-05,-0.217307405,1702.7188
0,0.00498613648,-1.92653939e-06,2.43956603e-05,-8.39642665e-05,-0.246193597,1703.02999
0,0.0057023135,-2.42463058e-06,3.52838219e-05,-8.30965633e-05,-0.275604816,1703.34773
0,0.00646998704,-3.00287901e-06,4.98738921e-05,-8.21695808e-05,-0.305440243,1703.67218
0,0.00729285993,-3.66841698e-06,6.91457626e-05,-8.117926e-05,-0.335580386,1704.00337
0,0.00817490128,-4.42844495e-06,9.42899666e-05,-8.0121206e-05,-0.365887071,1704.34117
0,0.00912036556,-5.29008444e-06,0.000126745002,-7.89906395e-05,-0.396202391,1704.68531
0,0.0101338132,-6.26019191e-06,0.000168239615,-7.77823384e-05,-0.426349024,1705.03538
0,0.0112201325,-7.34511118e-06,0.000220840061,-7.64905655e-05,-0.456130302,1705.39082
0,0.0123845633,-8.55038295e-06,0.00028700214,-7.51089839e-05,-0.485331479,1705.75094
0,0.0136327222,-9.88040177e-06,0.000369627774,-7.36305546e-05,-0.513721744,1706.11488
0,0.0149706296,-1.13380021e-05,0.000472124976,-7.2047416e-05,-0.541058275,1706.4817
0,0.0164047389,-1.29239384e-05,0.000598470239,-7.03507445e-05,-0.567090451,1706.85033
0,0.0179419674,-1.46363262e-05,0.000753269719,-6.85305925e-05,-0.591569625,1707.21962
0,0.0195897299,-1.64699816e-05,0.000941818258,-6.65757068e-05,-0.614255704,1707.58836
0,0.0213559743,-1.84156151e-05,0.00117014729,-6.44733262e-05,-0.634937051,1707.95534
0,0.0232492201,-2.04589443e-05,0.00144506086,-6.22089648e-05,-0.653433558,1708.31935
0,0.0252785992,-2.25799037e-05,0.00177413783,-5.97661853e-05,-0.669647264,1708.67927
0,0.0274539002,-2.47492652e-05,0.00216571254,-5.71263741e-05,-0.683535663,1709.03405
0,0.0297856156,-2.69251082e-05,0.00262876926,-5.42685321e-05,-0.695242959,1709.3828
0,0.0322849924,-2.90639144e-05,0.00317281778,-5.11690989e-05,-0.70512316,1709.72476
0,0.0349640862,-3.11183571e-05,0.00380760048,-4.78018323e-05,-0.713696812,1710.05935
0,0.0378358195,-3.30403708e-05,0.00454269818,-4.41377648e-05,-0.721571715,1710.38616
0,0.040914044,-3.47533924e-05,0.00538684602,-4.014526e-05,-0.729800269,1710.70494
0,0.0442136074,-3.6155877e-05,0.00634725488,-3.57901648e-05,-0.739654473,1711.01559
0,0.0477504251,-3.71211034e-05,0.00742820114,-3.10360303e-05,-0.753532346,1711.31813
0,0.0515415566,-3.75166106e-05,0.00862986124,-2.58442995e-05,-0.773200719,1711.61267
0,0.0556052884,-3.72395032e-05,0.00994553062,-2.01742978e-05,-0.802636213,1711.89938
0,0.0599612217,-3.6130083e-05,0.0113600477,-1.39825699e-05,-0.843161021,1712.17848
0,0.0646303672,-3.40575071e-05,0.0128443438,-7.22090605e-06,-0.900309266,1712.4502
0,0.0696352464,-3.08474436e-05,0.0143543734,1.68333845e-07,-0.972984924,1712.71481
0,0.075,-2.63644596e-05,0.0158242492,8.26788589e-06,-1.06634314,1712.97287
0,0.0803647536,-2.08796049e-05,0.0170840913,1.65911871e-05,-1.16795382,1713.20854
0,0.0853696328,-1.49870575e-05,0.0180068115,2.46066029e-05,-1.28055941,1713.41066
0,0.0900387783,-8.90441029e-06,0.0186012273,3.23664377e-05,-1.38355429,1713.58545
0,0.0943947116,-2.83794795e-06,0.0188956891,3.99294614e-05,-1.4900507,1713.73783
0,0.0984584434,3.08883227e-06,0.0188921771,4.73490136e-05,-1.59930428,1713.87159
0,0.102249575,8.77547378e-06,0.0186307704,5.46688152e-05,-1.68528776,1713.9897
0,0.105786393,1.40656394e-05,0.0181605444,6.19208465e-05,-1.76970466,1714.09452
0,0.109085956,1.8934002e-05,0.0175070812,6.91241854e-05,-1.84674701,1714.18794
0,0.112164181,2.33145662e-05,0.016705627,7.62856117e-05,-1.91592613,1714.27144
0,0.115035914,2.71772906e-05,0.0157901054,8.34009414e-05,-1.97712289,1714.34591
0,0.117715008,3.04996126e-05,0.0147921163,9.04569431e-05,-2.03041837,1714.41124
0,0.120214384,3.32742886e-05,0.013740438,9.7433559e-05,-2.07602303,1714.46495
0,0.1225461,3.55043494e-05,0.0126606737,0.000104306211,-2.11395153,1714.49952
0,0.124721401,3.71983991e-05,0.0115751865,0.000111047974,-2.14439053,1714.50041
0,0.12675078,3.83628926e-05,0.0105029077,0.000117631492,-2.16741402,1714.44687
0,0.128644026,3.90050204e-05,0.00945953519,0.000124030559,-2.18341098,1714.30501
0,0.13041027,3.91709244e-05,0.00845762654,0.000130221329,-2.19297555,1714.03169
0,0.132058033,3.89312133e-05,0.00750683679,0.00013618317,-2.19731983,1713.58628
0,0.133595261,3.84032754e-05,0.00661419648,0.000141899185,-2.19732022,1712.93643
0,0.13502937,3.76139973e-05,0.00578444003,0.000147356447,-2.19394119,1712.0651
0,0.136367278,3.65299509e-05,0.00502025568,0.00015254601,-2.18802094,1710.97407
0,0.137615437,3.51901103e-05,0.00432258648,0.000157462739,-2.18011402,1709.68306
0,0.138779867,3.36366184e-05,0.0036909856,0.000162105009,-2.17086798,1708.22548
0,0.139866187,3.19084883e-05,0.0031238649,0.000166474333,-2.16074887,1706.64251
0,0.140879634,3.00416246e-05,0.0026187633,0.000170574924,-2.15005419,1704.97744
0,0.141825099,2.80677525e-05,0.00217256302,0.000174413267,-2.13893502,1703.27116
0,0.14270714,2.60153136e-05,0.00178168794,0.000177997684,-2.12746106,1701.55927
0,0.143530013,2.39085977e-05,0.00144226994,0.00018133792,-2.11562861,1699.87075
0,0.144297686,2.17694426e-05,0.00115028231,0.00018444478,-2.10344948,1698.22772
0,0.145013864,1.96157615e-05,0.000901663743,0.000187329792,-2.09086655,1696.64602
0,0.145681998,1.74641068e-05,0.000692385942,0.000190004918,-2.0779688,1695.13604
0,0.146305314,1.53283913e-05,0.000518562304,0.000192482309,-2.06460395,1693.70385
0,0.146886817,1.32200555e-05,0.000376428403,0.000194774105,-2.05114081,1692.35212
0,0.147429312,1.11531457e-05,0.00026250883,0.000196892264,-2.03694909,1691.08105
0,0.147935415,9.13429467e-06,0.000173398258,0.000198848437,-2.02341188,1689.88908
0,0.148407569,7.17067811e-06,0.000106242869,0.000200653858,-2.00814522,1688.77347
0,0.14884805,5.27032054e-06,5.78515455e-05,0.000202319266,-1.99616953,1687.73074
0,0.149258983,3.43808838e-06,2.63090103e-05,0.000203854827,-1.97773506,1686.757
0,0.14964235,1.67586827e-06,7.9861878e-06,0.000205269959,-1.97852951,1685.8482
0,0.15,0,0,0.000206574188,-1.99274052,1685.1612
0.000219181974,0.15,0,0,0.000413148377,-1.99288896,1685
0.000220027669,0.14964235,3.35795975e-06,7.95588448e-06,0.000410538692,-1.98011832,1685.84792
0.000220934173,0.149258983,6.85627729e-06,2.62640726e-05,0.000407708436,-1.98172582,1686.75668
0.00022190586,0.14884805,1.04756039e-05,5.77993454e-05,0.000404637473,-2.00221604,1687.73036
0.000222947415,0.148407569,1.42455045e-05,0.000106180043,0.000401306854,-2.01636116,1688.77304
0.000224063863,0.147935415,1.81333032e-05,0.000173332731,0.000397696246,-2.033814,1689.88859
0.000225260588,0.147429312,2.21410818e-05,0.000262431035,0.000393784168,-2.04961858,1691.0805
