r,z,u_r,u_z,u_swirl,p,T
0,0,0,0,-9.00975817e-05,0,1700.08757
0,0.000357650242,1.07830253e-06,-2.1512251e-06,-8.92504532e-05,-0.0184827019,1700.16379
0,0.000741017226,2.2012713e-06,-6.3193888e-06,-8.83456848e-05,-0.0556294899,1700.25089
0,0.00115195011,3.36312744e-06,-1.44209579e-05,-8.73792141e-05,-0.0946949018,1700.3135
0,0.00159243101,4.56454955e-06,-2.64542323e-05,-8.63469396e-05,-0.137869347,1700.35648
0,0.00206458457,5.80533817e-06,-4.33873285e-05,-8.52447127e-05,-0.183269765,1700.38228
0,0.0025706882,7.08397293e-06,-6.59160239e-05,-8.4068251e-05,-0.231430397,1700.39203
0,0.00311318307,8.39811734e-06,-9.49529127e-05,-8.28131224e-05,-0.282269863,1700.38605
0,0.00369468589,9.74457238e-06,-0.000131463042,-8.14747485e-05,-0.336001999,1700.3642
0,0.00431800152,1.11192935e-05,-0.000176535397,-8.00484177e-05,-0.392769467,1700.32599
0,0.00498613648,1.25172757e-05,-0.000231366397,-7.85293034e-05,-0.452755896,1700.27074
0,0.0057023135,1.39324956e-05,-0.000297272866,-7.69124882e-05,-0.516145553,1700.19759
0,0.00646998704,1.53578043e-05,-0.00037569241,-7.5192994e-05,-0.583138582,1700.10565
0,0.00729285993,1.67848617e-05,-0.000468185621,-7.33658172e-05,-0.65394725,1699.99397
0,0.00817490128,1.82040381e-05,-0.000576434137,-7.14259704e-05,-0.728800029,1699.8617
0,0.00912036556,1.9604335e-05,-0.000702235347,-6.93685297e-05,-0.807942056,1699.70813
0,0.0101338132,2.09733082e-05,-0.000847492279,-6.71886873e-05,-0.891636361,1699.53283
0,0.0112201325,2.22969417e-05,-0.00101419681,-6.48818087e-05,-0.980163143,1699.33575
0,0.0123845633,2.35595379e-05,-0.00120440632,-6.24434934e-05,-1.0738249,1699.11739
0,0.0136327222,2.4743739e-05,-0.00142020749,-5.98696369e-05,-1.17293483,1698.87896
0,0.0149706296,2.5830374e-05,-0.00166367496,-5.71564913e-05,-1.27783501,1698.62254
0,0.0164047389,2.67986282e-05,-0.00193680209,-5.4300722e-05,-1.38884973,1698.35117
0,0.0179419674,2.76256337e-05,-0.00224143913,-5.12994548e-05,-1.50635477,1698.06894
0,0.0195897299,2.82874938e-05,-0.0025791638,-4.81503101e-05,-1.63062488,1697.78088
0,0.0213559743,2.87577936e-05,-0.00295121382,-4.48514186e-05,-1.76207534,1697.49265
0,0.0232492201,2.90106134e-05,-0.00335823736,-4.14014123e-05,-1.9008114,1697.21011
0,0.0252785992,2.90162947e-05,-0.00380027636,-3.77993895e-05,-2.04735353,1696.9386
0,0.0274539002,2.87495291e-05,-0.00427626643,-3.40448462e-05,-2.20142204,1696.68214
0,0.0297856156,2.81781189e-05,-0.004784237,-3.01375873e-05,-2.36387638,1696.44271
0,0.0322849924,2.72827434e-05,-0.00532027383,-2.60776084e-05,-2.53368213,1696.21977
0,0.0349640862,2.60294188e-05,-0.0058793542,-2.18649966e-05,-2.71262669,1696.01026
