r,z,u_r,u_z,u_swirl,p,T
0,0,0,0,-9.00975817e-05,0,1700.14432
0,0.000357650242,-1.41410862e-07,3.28851506e-08,-8.95693697e-05,-0.01217333,1700.34802
0,0.000741017226,-3.15535626e-07,1.04336209e-06,-8.90049163e-05,-0.0349682284,1700.63257
0,0.00115195011,-5.25220941e-07,2.09621772e-06,-8.84015825e-05,-0.0563027521,1700.90674
0,0.00159243101,-7.74447262e-07,4.07857366e-06,-8.77566435e-05,-0.079012087,1701.17634
0,0.00206458457,-1.06732001e-06,7.07500906e-06,-8.70672784e-05,-0.102442883,1701.44481
0,0.0025706882,-1.40775678e-06,1.14169362e-05,-8.63305085e-05,-0.126817195,1701.71431
0,0.00311318307,-1.80020819e-06,1.7446182e-05,-8.55431709e-05,-0.151952184,1701.98625
0,0.00369468589,-2.24949335e-06,2.56164538e-05,-8.47018994e-05,-0.177865113,1702.26158
0,0.00431800152,-2.7606851e-06,3.64660161e-05,-8.3803106e-05,-0.204511237,1702.54094
0,0.00498613648,-3.3390805e-06,5.06502422e-05,-8.28429612e-05,-0.231856807,1702.82475
0,0.0057023135,-3.9901131e-06,6.89566906e-05,-8.18173711e-05,-0.259850772,1703.11323
0,0.00646998704,-4.71927123e-06,9.23304703e-05,-8.072195e-05,-0.288434715,1703.40648
0,0.00729285993,-5.53198717e-06,0.000121900113,-7.95519903e-05,-0.317538869,1703.70444
0,0.00817490128,-6.43350073e-06,0.000159007963,-7.83024256e-05,-0.347083775,1704.00691
0,0.00912036556,-7.42869048e-06,0.000205243662,-7.6967788e-05,-0.3769804,1704.31359
0,0.0101338132,-8.52186956e-06,0.00026248133,-7.55421583e-05,-0.407131859,1704.62403
0,0.0112201325,-9.71652272e-06,0.000332919955,-7.4019107e-05,-0.437435298,1704.93769
0,0.0123845633,-1.10150009e-05,0.000419126681,-7.23916277e-05,-0.467784484,1705.2539
0,0.0136327222,-1.24181744e-05,0.000524081824,-7.06520592e-05,-0.498074745,1705.57188
0,0.0149706296,-1.39250075e-05,0.000651224982,-6.87919998e-05,-0.528207058,1705.8908
0,0.0164047389,-1.55320732e-05,0.000804498668,-6.68022114e-05,-0.558098549,1706.20971
0,0.0179419674,-1.72329723e-05,0.000988389229,-6.46725181e-05,-0.587686864,1706.52766
0,0.0195897299,-1.9017777e-05,0.00120795583,-6.23917001e-05,-0.616952733,1706.84365
0,0.0213559743,-2.08722011e-05,0.00146885152,-5.99473907e-05,-0.645917468,1707.15668
0,0.0232492201,-2.27770229e-05,0.00177731098,-5.73259831e-05,-0.674693413,1707.46581
0,0.0252785992,-2.47069191e-05,0.00214012595,-5.45125599e-05,-0.703454931,1707.77015
0,0.0274539002,-2.66301204e-05,0.00256454203,-5.14908598e-05,-0.732553365,1708.06888
0,0.0297856156,-2.85066698e-05,0.00305814898,-4.82433007e-05,-0.762409248,1708.36131
0,0.0322849924,-3.02888112e-05,0.00362859623,-4.47510828e-05,-0.793772373,1708.64686
0,0.0349640862,-3.19180992e-05,0.00428334342,-4.09943952e-05,-0.827412499,1708.92507
0,0.0378358195,-3.33279726e-05,0.00502903542,-3.69527521e-05,-0.864701611,1709.19562
0,0.040914044,-3.44384394e-05,0.0058710527,-3.26054682e-05,-0.906820168,1709.45827
0,0.0442136074,-3.51635289e-05,0.00681226591,-2.79322801e-05,-0.956048497,1709.71291
0,0.0477504251,-3.54004878e-05,0.00785235818,-2.29140599e-05,-1.01386631,1709.95949
