r,z,u_r,u_z,u_swirl,p,T
0,0,0,0,-0.000210334239,0,1700.13515
0,0.000357650242,1.2178581e-06,-2.40792543e-06,-0.000208463974,-0.0188947933,1700.31826
0,0.000741017226,2.47953121e-06,-7.14641191e-06,-0.000206466469,-0.0571236148,1700.57094
0,0.00115195011,3.77918943e-06,-1.62430009e-05,-0.000204332879,-0.0973293246,1700.81104
0,0.00159243101,5.1161397e-06,-2.97577661e-05,-0.000202054311,-0.141270967,1701.04425
0,0.00206458457,6.48947165e-06,-4.87126341e-05,-0.000199621818,-0.187012588,1701.27388
0,0.0025706882,7.89536038e-06,-7.38645575e-05,-0.00019702623,-0.234965727,1701.50197
0,0.00311318307,9.32920922e-06,-0.000106179333,-0.000194258129,-0.284930873,1701.72978
0,0.00369468589,1.07851017e-05,-0.000146668797,-0.000191307885,-0.336984178,1701.95809
0,0.00431800152,1.22559145e-05,-0.000196456867,-0.000188165698,-0.391114214,1702.18733
0,0.00498613648,1.3733099e-05,-0.000256757905,-0.00018482167,-0.447330722,1702.41767
0,0.0057023135,1.52065844e-05,-0.00032888182,-0.000181265892,-0.505620638,1702.649
0,0.00646998704,1.66646203e-05,-0.00041422443,-0.000177488543,-0.565959089,1702.88098
0,0.00729285993,1.80937616e-05,-0.000514256889,-0.000173480012,-0.628303982,1703.113
0,0.00817490128,1.94787498e-05,-0.000630509232,-0.000169231029,-0.692601811,1703.34415
0,0.00912036556,2.08025103e-05,-0.000764545825,-0.000164732816,-0.758784178,1703.57318
0,0.0101338132,2.20461339e-05,-0.000917935037,-0.000159977246,-0.82677476,1703.79845
0,0.0112201325,2.31887499e-05,-0.00109220131,-0.000154957038,-0.896471227,1704.01786
0,0.0123845633,2.42072033e-05,-0.00128878059,-0.000149665933,-0.967807148,1704.22888
0,0.0136327222,2.50769659e-05,-0.0015089238,-0.000144098893,-1.04063797,1704.42848
0,0.0149706296,2.57708767e-05,-0.00175366097,-0.000138252282,-1.11499543,1704.61325
0,0.0164047389,2.62620237e-05,-0.00202358874,-0.000132124019,-1.19061214,1704.77946
0,0.0179419674,2.65186638e-05,-0.00231893404,-0.000125713716,-1.26784554,1704.92333
0,0.0195897299,2.65154024e-05,-0.00263903377,-0.00011902276,-1.34601239,1705.04128
0,0.0213559743,2.62152907e-05,-0.00298280757,-0.000112054347,-1.42637645,1705.1303
0,0.0232492201,2.56021993e-05,-0.00334741139,-0.000104813417,-1.50705462,1705.18827
0,0.0252785992,2.46305542e-05,-0.00372993464,-9.7306562e-05,-1.5915468,1705.2151
0,0.0274539002,2.3310002e-05,-0.00412397863,-8.95417356e-05,-1.67488095,1705.21222
0,0.0297856156,2.15800276e-05,-0.00452454843,-8.15280767e-05,-1.76548719,1705.18154
0,0.0322849924,1.95075615e-05,-0.00491980765,-7.32753955e-05,-1.8512938,1705.12668
0,0.0349640862,1.70055413e-05,-0.00530328267,-6.47941296e-05,-1.94951265,1705.05227
0,0.0378358195,1.41876074e-05,-0.00565542585,-5.60947809e-05,-2.03702083,1704.96266
0,0.040914044,1.09419511e-05,-0.00596731543,-4.7188345e-05,-2.14493699,1704.86148
0,0.0442136074,7.41049754e-06,-0.00621006794,-3.80861517e-05,-2.23821646,1704.7512
0,0.0477504251,3.45913328e-06,-0.00636725278,-2.88010375e-05,-2.38401341,1704.63305
0,0.0515415566,-2.8655504e-07,-0.0064328858,-1.93486014e-05,-2.50047596,1704.50709
0,0.0556052884,-3.97099765e-06,-0.0063311695,-9.7507308e-06,-2.62002598,1704.37245
0,0.0599612217,-7.86754671e-06,-0.00609531434,-3.99719277e-08,-2.81141758,1704.22748
0,0.0646303672,-1.11786514e-05,-0.00568713898,9.73766499e-06,-2.96829126,1704.0698
0,0.0696352464,-1.38965745e-05,-0.0050894306,1.95146857e-05,-3.18402303,1703.89596
0,0.075,-1.57122247e-05,-0.00432809884,2.92076114e-05,-3.41100937,1703.70101
