r,z,u_r,u_z,u_swirl,p,T
0,0,0,0,-0.00024038207,0,1700.12274
0,0.000357650242,1.73869938e-06,-3.36104391e-06,-0.000238108945,-0.0210613847,1700.27798
0,0.000741017226,3.54332143e-06,-1.02560549e-05,-0.000235681394,-0.0651080415,1700.48749
0,0.00115195011,5.40531648e-06,-2.31965587e-05,-0.000233088827,-0.112732793,1700.68128
0,0.00159243101,7.32437469e-06,-4.25628838e-05,-0.000230320662,-0.164517691,1700.86481
0,0.00206458457,9.2985146e-06,-6.97054037e-05,-0.00022736633,-0.218532892,1701.04113
0,0.0025706882,1.13224696e-05,-0.000105766881,-0.000224215077,-0.275133185,1701.21196
0,0.00311318307,1.33897662e-05,-0.000152131067,-0.00022085596,-0.334118178,1701.37827
0,0.00369468589,1.54921602e-05,-0.000210273727,-0.000217277907,-0.39556196,1701.54048
0,0.00431800152,1.76197074e-05,-0.000281828276,-0.000213469797,-0.459456089,1701.69865
0,0.00498613648,1.97605172e-05,-0.000368566304,-0.000209420575,-0.525810706,1701.85255
0,0.0057023135,2.1900623e-05,-0.000472402671,-0.000205119386,-0.5946132,1702.00164
0,0.00646998704,2.40237996e-05,-0.000595385191,-0.000200555743,-0.665839003,1702.14513
0,0.00729285993,2.61115008e-05,-0.000739682145,-0.000195719704,-0.739448103,1702.28198
0,0.00817490128,2.81427354e-05,-0.000907560915,-0.000190602075,-0.815387543,1702.41087
0,0.00912036556,3.009398e-05,-0.00110135899,-0.000185194636,-0.893597905,1702.53019
0,0.0101338132,3.19392552e-05,-0.00132343963,-0.000179490383,-0.974000328,1702.63803
0,0.0112201325,3.36497838e-05,-0.00157614238,-0.000173483797,-1.05653003,1702.73222
0,0.0123845633,3.51943698e-05,-0.00186169721,-0.0001671711,-1.14108185,1702.81036
0,0.0136327222,3.65388402e-05,-0.00218216002,-0.000160550529,-1.22764481,1702.86994
0,0.0149706296,3.76479419e-05,-0.00253924119,-0.000153622563,-1.31604616,1702.90835
0,0.0164047389,3.84822811e-05,-0.00293427599,-0.000146390116,-1.40647452,1702.92388
0,0.0179419674,3.90051041e-05,-0.00336784,-0.000138858673,-1.49850006,1702.9152
0,0.0195897299,3.91720306e-05,-0.00383993911,-0.000131036348,-1.59287405,1702.88133
0,0.0213559743,3.89514672e-05,-0.00434907812,-0.000122933811,-1.68837391,1702.82292
0,0.0232492201,3.82928829e-05,-0.004893198,-0.000114564129,-1.78720001,1702.74189
0,0.0252785992,3.71825676e-05,-0.00546735198,-0.000105942379,-1.88601704,1702.64118
0,0.0274539002,3.5560524e-05,-0.00606672112,-9.70852334e-05,-1.99040079,1702.52441
0,0.0297856156,3.34556557e-05,-0.00668097072,-8.80102064e-05,-2.09204302,1702.39525
0,0.0322849924,3.07910327e-05,-0.00730233675,-7.87351204e-05,-2.20339597,1702.2568
0,0.0349640862,2.76682038e-05,-0.0079126226,-6.92770813e-05,-2.30605739,1702.11112
0,0.0378358195,2.39701636e-05,-0.00850168993,-5.96522588e-05,-2.42304374,1701.95895
0,0.040914044,1.97929761e-05,-0.00904021356,-4.98750679e-05,-2.52576129,1701.79987
0,0.0442136074,1.505809e-05,-0.00951170199,-3.99585241e-05,-2.66327303,1701.63249
0,0.0477504251,1.02804314e-05,-0.00987553805,-2.99143926e-05,-2.76092002,1701.45473
0,0.0515415566,4.99419382e-06,-0.0101175985,-1.97562564e-05,-2.94345796,1701.26402
0,0.0556052884,5.41280719e-08,-0.0102301287,-9.50181074e-06,-3.06954695,1701.05729
0,0.0599612217,-4.64003049e-06,-0.0101017577,8.22607821e-07,-3.18038041,1700.83092
0,0.0646303672,-9.69650727e-06,-0.00978560869,1.1173673e-05,-3.42427699,1700.58049
0,0.0696352464,-1.37746491e-05,-0.00923099382,2.14879328e-05,-3.5993508,1700.30013
0,0.075,-1.69603674e-05,-0.00842251357,3.16797565e-05,-3.84715078,1699.98194
0,0.0803647536,-1.88250913e-05,-0.00747525927,4.09981208e-05,-4.0923982,1699.64061
