r,z,u_r,u_z,u_swirl,p,T
0,0,0,0,-0.000300477731,0,1700.10311
0,0.000357650242,2.63951989e-06,-5.0156807e-06,-0.000297357526,-0.0247834771,1700.21423
0,0.000741017226,5.37994422e-06,-1.56383176e-05,-0.00029402581,-0.0787783244,1700.35536
0,0.00115195011,8.2076788e-06,-3.51990037e-05,-0.000290468398,-0.139088266,1700.47583
0,0.00159243101,1.11223433e-05,-6.46304404e-05,-0.000286671261,-0.20426855,1700.58065
0,0.00206458457,1.41195266e-05,-0.000105833583,-0.00028262055,-0.272321771,1700.67246
0,0.0025706882,1.71906734e-05,-0.000160588561,-0.000278302357,-0.343517794,1700.75251
0,0.00311318307,2.03252918e-05,-0.000230969412,-0.000273702748,-0.417637283,1700.82126
0,0.00369468589,2.35102354e-05,-0.000319210566,-0.000268807884,-0.494735947,1700.87865
0,0.00431800152,2.67297893e-05,-0.000427771428,-0.000263604198,-0.574794792,1700.92422
0,0.00498613648,2.99653133e-05,-0.000559318354,-0.000258078597,-0.657814329,1700.95722
0,0.0057023135,3.31950347e-05,-0.00071672673,-0.000252218725,-0.7437729,1700.97666
0,0.00646998704,3.63937858e-05,-0.000903065414,-0.000246013253,-0.832634603,1700.9814
0,0.00729285993,3.95330113e-05,-0.00112157535,-0.000239452207,-0.924347377,1700.97022
0,0.00817490128,4.25806199e-05,-0.00137563727,-0.000232527324,-1.01885057,1700.94186
0,0.00912036556,4.55009969e-05,-0.00166872563,-0.000225232441,-1.1160787,1700.89514
0,0.0101338132,4.82551744e-05,-0.00200434554,-0.000217563909,-1.21595399,1700.82912
0,0.0112201325,5.08004403e-05,-0.0023859508,-0.000209521021,-1.31839721,1700.7432
0,0.0123845633,5.30904768e-05,-0.00281683603,-0.000201106438,-1.42333392,1700.6373
0,0.0136327222,5.50758894e-05,-0.00330000287,-0.00019232658,-1.53069775,1700.51214
0,0.0149706296,5.67048419e-05,-0.00383799389,-0.000183191959,-1.64043016,1700.36936
0,0.0164047389,5.79230238e-05,-0.0044326943,-0.000173717403,-1.75248648,1700.21165
0,0.0179419674,5.86751284e-05,-0.0050850816,-0.000163922163,-1.86680226,1700.04263
0,0.0195897299,5.89061518e-05,-0.00579495853,-0.000153829836,-1.98333799,1699.86655
0,0.0213559743,5.85630724e-05,-0.00656061153,-0.000143468074,-2.10198561,1699.68773
0,0.0232492201,5.75957782e-05,-0.00737848163,-0.000132868028,-2.22271936,1699.50989
0,0.0252785992,5.59607844e-05,-0.00824270723,-0.00012206351,-2.34533322,1699.33551
0,0.0274539002,5.36217279e-05,-0.00914478955,-0.000111089859,-2.46985256,1699.16541
