r,z,u_r,u_z,u_swirl,p,T
0,0,0,0,-6.00956609e-05,0,1700.13747
0,0.000357650242,-2.37929927e-07,2.45616063e-07,-5.95235638e-05,-0.0122288576,1700.3258
0,0.000741017226,-5.07222318e-07,1.62031756e-06,-5.89124678e-05,-0.0343032589,1700.58653
0,0.00115195011,-8.09266231e-07,3.33235079e-06,-5.82595238e-05,-0.0543216935,1700.83519
0,0.00159243101,-1.1473909e-06,6.32428838e-06,-5.75618183e-05,-0.0760500129,1701.07746
0,0.00206458457,-1.52386671e-06,1.06701953e-05,-5.68163577e-05,-0.0986004311,1701.31669
0,0.0025706882,-1.94088206e-06,1.67400971e-05,-5.60199974e-05,-0.122276094,1701.55492
0,0.00311318307,-2.40095146e-06,2.48914667e-05,-5.51694169e-05,-0.146927727,1701.79345
0,0.00369468589,-2.90666033e-06,3.55876957e-05,-5.42611049e-05,-0.172629557,1702.0331
0,0.00431800152,-3.46057504e-06,4.93614042e-05,-5.32913483e-05,-0.199394843,1702.27441
0,0.00498613648,-4.06520176e-06,6.68437379e-05,-5.22562211e-05,-0.227259292,1702.5177
0,0.0057023135,-4.7228841e-06,8.87723821e-05,-5.11515739e-05,-0.256251074,1702.76309
0,0.00646998704,-5.43571817e-06,0.000116009222,-4.99730236e-05,-0.286402888,1703.01061
0,0.00729285993,-6.20544075e-06,0.000149556458,-4.87159434e-05,-0.317749017,1703.26011
0,0.00817490128,-7.03330557e-06,0.000190575236,-4.73754521e-05,-0.350328667,1703.51137
0,0.00912036556,-7.91993338e-06,0.000240405048,-4.59464056e-05,-0.384187253,1703.76406
0,0.0101338132,-8.86514646e-06,0.000300583924,-4.44233883e-05,-0.419380264,1704.01773
0,0.0112201325,-9.86775378e-06,0.000372869306,-4.28007083e-05,-0.45597503,1704.27188
0,0.0123845633,-1.0925344e-05,0.000459257304,-4.10723949e-05,-0.494058504,1704.5259
0,0.0136327222,-1.20339874e-05,0.000562002674,-3.92322025e-05,-0.533735239,1704.77913
0,0.0149706296,-1.31880491e-05,0.000683630654,-3.72736207e-05,-0.575149309,1705.03084
0,0.0164047389,-1.43796691e-05,0.00082695362,-3.51898963e-05,-0.618461631,1705.28026
0,0.0179419674,-1.55988053e-05,0.000995059946,-3.297407e-05,-0.663918682,1705.5266
0,0.0195897299,-1.68321655e-05,0.0011913289,-3.06190326e-05,-0.711753767,1705.76904
0,0.0213559743,-1.80640912e-05,0.00141936054,-2.811761e-05,-0.762398002,1706.0068
0,0.0232492201,-1.9273953e-05,0.00168300689,-2.54626818e-05,-0.816149505,1706.2391
0,0.0252785992,-2.04394964e-05,0.00198615934,-2.2647346e-05,-0.873778354,1706.46522
